,Product,Category,Ingredients
10072,"Nivea Lip Care, Strawberry Rating",Lip Balm,Octyldodecanol  Ricinus Communis (Castor) Seed Oil  Beeswax  Cocoglycerides  Bis-Diglyceryl Polyacyladipate-2  Butyrospermum Parkii (Shea) Butter  Hydrogenated Castor Oil  Helianthus Annuus Seed Wax  Simmondsia Chinensis (Jojoba) Seed Oil  Persea Gratissima (Avocado) Oil  Fragaria Ananassa (Strawberry) Fruit Juice  Ascorbyl Palmitate  Tocopherol  Bisabolol  Flavor  Propylene Glycol  Water  Citric Acid  Trideceth-9  Mica  BHT  Titanium Dioxide  Yellow 6 Lake  Red 7 Lake
10073,29 by Lydia Mondavi First Crush Lip Scrub Rating,Lip Balm,COCOS NUCIFERA (COCONUT) OIL  ETHYLHEXYL PALMITATE  BEESWAX (CERA ALBA)  C18-70 ISOPARAFFIN  MICROCRYSTALLINE WAX (CERA MICROCRISTALLINA)  PRUNUS ARMENIACA (APRICOT) SEED POWDER  OZOKERITE  MYRISTYL MYRISTATE  BUTYROSPERMUM PARKII (SHEA BUTTER)  ETHYLHEXYL METHOXYCINNAMATE  GRAPE (VITIS VINIFERA) SEED OIL  BENZOPHENONE-3  FRAGRANCE (PARFUM)  CAPRYLYL GLYCOL  PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  TOCOPHERYL ACETATE  LIMONENE  BENZYL ALCOHOL.
10074,"Harry's Extra Strength Odor & Enhanced Sweat Control Antiperspirant,",Antiperspirant/Deodorant,Active Ingredients: ALUMINUM ZIRCONIUM TRICHLOROHYDREX GLY 20.0%; Inactive Ingredients: C12-15 ALKYL BENZOATE  STEARYL ALCOHOL  ISOAMYL LAURATE  DIMETHICONE  WATER/AQUA/EAU  HYDROGENATED CASTOR OIL  CETYL ALCOHOL  SILICA  FRAGRANCE/PARFUM  ALUMINUM STARCH OCENTYLSUCCINATE  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  ALLANTOIN  BISABOLOL  ZINGIBER OFFINCALE (GINGER) ROOT EXTRACT  TOCOPHERYL ACETATE  MYRISTYL ALCOHOL  CITRONELLYL METHYLCROTONATE  LIMONENE  BENZYL SALICYLATE  HEXYL CINNAMAL  LINALOOL  BENZYL BENZOATE  BENZYL ALCOHOL  PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE
10075,"Scent Theory Toaming Hand Soap, Pepper Mint Snowball Rating",Liquid Hand Soap,WATER (AQUA)  COCAMIDOPROPYL BETAINE  SODIUM C14-16 OLEFIN SULFONATE  ACRYLATES COPOLYMER  FRAGRANCE (PARFUM)  PEG-40 HYDROGENATED CASTOR PROPYLENE GLYCOL LAURATE  COCAMIDE METHYL MEA  OIL  DISODIUM EDTA  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  CITRIC ACID  RED 33  YELLOW 5  BLUE 1
10076,Ban Private Parts Stay Dry Deodorizing Lotion Rating,Antiperspirant/Deodorant,WATER  TAPIOCA STARCH  CAPRYLIC/CAPRIC TRIGLYCERIDE  SACCHAROMYCES FERMENT  PROPANEDIOL  GLYCERYL STEARATE SE  ISOAMYL LAURATE  SORBITAN OLEATE DECYLGLUCOSIDE CROSSPOLYMER  CETEARYL OLIVATE  DIHEPTYL SUCCINATE  HYDRATED SILICA  SORBITAN OLIVATE  PENTYLENE GLYCOL  CETEARYL ALCOHOL  ALOE BARBADENSIS LEAF JUICE  FRAGRANCE  ZINC RICINOLEATE  CARRAGEENAN  SILICA  HYDROXYACETOPHENONE  XYLITYL SESQUICAPRYLATE  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  CETEARETH-20  PHENETHYL ALCOHOL  CAPRYLOYL GLYCERIN/SEBACIC ACID COPOLYMER  SODIUM BENZOATE  GLYCERIN  POTASSIUM SORBATE  LACTOBACILLUS/SOYBEAN FERMENT EXTRACT  INULIN  CALENDULA OFFICINALIS FLOWER EXTRACT  AESCULUS HIPPOCASTANUM (HORSE CHESTNUT) SEED EXTRACT  LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL  ROSMARINUS OFFICINALIS (ROSEMARY) LEAF OIL  FRUCTOSE  CITRIC ACID
10077,"Fds intimate + Body Dry Deodorant Spray, Lavender Blossom Rating",Antiperspirant/Deodorant,ISOBUTANE  ISOPROPYL MYRISTATE  CORN STARCH  MAGNESIUM STEARATE  FRAGRANCE  ZINC RICINOLEATE  LAURETH-3  BENZYL ALCOHOL  MINERAL OIL  TETRAHYDROXYPROPYL ETHYLENEDIAMINE  SODIUM BICARBONATE (BAKING SODA)  PROPYLENE GLYCOL  LANOLIN ALCOHOL  OLEYL ALCOHOL  CHAMOMILLA RECUTITA FLOWER EXTRACT (CHAMOMILE)  TOCOPHERYL ACETATE  ALOE BARBADENSIS LEAF EXTRACT (ALOE)
10078,"Winky Lux Marbleous Tinted Hydrating Balm, Delighted Rating",Lip Balm,CANDELILLA CERA/EUPHORBIA CERIFERA (CANDELILLA) WAX/CIRE DE CANDELILLA  BIS-DIGLYCERYL POLYACYLADIPATE-2  OCTYLDODECANOL  POLYBUTENE  CAPRYLIC/CAPRIC TRIGLYCERIDE  HYDROGENATED POLYISOBUTENE  POLYETHYLENE  ISOPROPYL PALMITATE  CERA MICROCRISTALLINA/MICROCRYSTALLINE WAX/CIRE MICROCRISTALLINE  CERAMIDE EOP  CERAMIDE NS  CERAMIDE NP  CERAMIDE AS  CERAMIDE AP  HYDROGENATED LECITHIN  CHOLESTEROL  GLYCERYL STEARATE  DIPROPYLENE GLYCOL  PARFUM/FRAGRANCE  COCOS NUCIFERA (COCONUT/NOIX DE COCO) OIL  PHENOXYETHANOL  ETHYLHEXYLGLYCERIN  CITRAL  LIMONENE. MAY CONTAIN [+]: C177891 (TITANIUM DIOXIDE)  CI 77491  CI 77492  CI 77499 (IRON OXIDES)  CI 15850 [RED 6)  CI 15850 (RED 7 LAKE)  CI 19140 (YELLOW 5 LAKE)  CI 77742 (MANGANESE VIOLET)
10079,Hempvana Heel Tastic Intensive Heel Therapy Rating,Foot Odor Control,COCOS NUCIFERA (COCONUT) OIL  HYDROGENATED SOYBEAN OIL  OZOKERITE  BEESWAX  CARTHAMUS TINCTORIUS (SAFFLOWER) SEED  OIL MELIA AZADIRACHTA SEED OIL  COPERNICIA CERIFERA (CARNAUBA) WAX  NIGELLA SATIVA SEED OIL  PONGAMIA GLABRA SEED OIL  CANNABIS SATIVA SEED OIL (HEMP SEED OIL)  DIMETHICONE  MELALEUCA VIRIDIFLORA LEAF OIL  TOCOPHERYL ACETATE  ISOPROPYL MYRISTATE  CAPRYLYL GLYCOL  PHENOXYETHANOL  MELALEUCA LEUCADENDRON CAJAPUT OIL  THEOBROMA CACAO (COCOA) SEED BUTTER  BUTYROSPERMUM PARKII (SHEA) BUTTER  SORBITAN OLEATE  CYMBOPOGON SCHOENANTHUS OIL  CYMBOPOGON MARTINI OIL  CITRUS AURANTIUM AMARA (BITTER ORANGE) PEEL OIL  CEDRUS ATLANTICA BARK OIL  ROSMARINUS OFFICINALIS (ROSEMARY) LEAF OIL  MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL  EUCALYPTUS GLOBULUS LEAF OIL  PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL  OLEA EUROPAEA (OLIVE) FRUIT OIL  PERSEA GRATISSIMA (AVOCADO) OIL  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  ORYZA SATIVA (RICE) BRAN OIL  SALVIA SCLAREA (CLARY) OIL  CANARIUM COMMUNE GUM OIL  RETINYL PALMITATE
10080,"Dial Complete Liquid Antibacterial Hand Soap, Spring Water Rating",Liquid Hand Soap,Active Ingredients: BENZALKONIUM CHLORIDE 0.13%; Inactive Ingredients: AQUA (WATER  EAU) LAURAMIDOPROPYLAMINE OXIDE GLYCERIN CETRIMONIUM CHLORIDE LAURAMINE OXIDE SODIUM CHLORIDE PEG-120 METHYL GLUCOSE DIOLEATE CITRICACID SODIUM BENZOATE PARFUM (FRAGRANCE) MYRISTAMIDOPROPYLAMINE OXIDE ZINC SULFATE DIMETHYL LAURAMINE TETRASODIUM EDTA ALCOHOL DIMETHYL MYRISTAMINE C142090 (BLUE 1) CI 17200 (RED 33)
10081,"Fresh Sugar Hydrating Lip Balm, Peach Rating",Lip Balm,Isononyl Isononanoate  C10-30 Cholesterol/Lanosterol Esters  Bis-Diglyceryl Polyacyladipate-2  Cera Microcristallina (Microcrystalline Wax)  Polybutene  Ethylene/Propylene/Styrene Copolymer  Glyceryl Behenate/Eicosadioate  Prunus Armeniaca (Apricot) Kernel Oil  Butylene/Ethylene/Styrene Copolymer  Ribes Nigrum (Black Currant) Seed Oil  Vitis Vinifera (Grape) Seed Oil  Sucrose Tetrastearate Triacetate  Tocopherol  Ascorbyl Palmitate  Parfum (Fragrance)  Silica Silylate  CI 77891 (Titanium Dioxide)  BHT  Ammonium Glycyrrhizate  Polyglyceryl-2 Triisostearate  Trimethylolpropane Triisostearate  CI 19140 (Yellow 5 Lake)  Aqua (Water)  CI 15985 (Yellow 6 Lake)  CI 15850 (Red 7)  Propyl Gallate  Phenoxyethanol  Linalool <12653/A>
10082,"Exchange Select Anticavity Fluoride Rinse, Mint Mint Rating",Mouthwash,Active Ingredients: Sodium fluoride 0.05%  w/v fluoride ion 0.02%; Inactive Ingredients: BENZYL ALCOHOL  CALCIUM DISODIUM EDTA  CETYLPYRIDINIUM CHLORIDE  DISODIUM EDTA  DISODIUM PHOSPHATE  FLAVOR  GREEN 3  MENTHOL  METHYL SALICYLATE  POLOXAMER 407  POLYSORBATE 20  POTASSIUM SORBATE  PROPYLENE GLYCOL  SODIUM BENZOATE  SODIUM PHOSPHATE  SODIUM SACCHARIN  SORBITOL  WATER  YELLOW 5
10083,Degree Unlimited Clinically Proven Sweat & Odor Protection Antiperspirant,Antiperspirant/Deodorant,Active Ingredients: Aluminum Sesquichlorohydrate 17.0%; Inactive Ingredients: CYCLOPENTASILOXANE  STEARYL ALCOHOL  PPG-14 BUTYL ETHER  GLYCINE  C12-15 ALKYL BENZOATE  HYDROGENATED CASTOR OIL  CALCIUM CHLORIDE  FRAGRANCE (PARFUM)  TALC  PEG-8 DISTEARATE  SODIUM STARCH OCTENYLSUCCINATE  POLYETHYLENE  CAPRYLIC/CAPRIC TRIGLYCERIDE  MALTODEXTRIN  HYDROLYZED CORN STARCH OCTENYLSUCCINATE  BHT  HYDRATED SILICA  GELATIN CROSSPOLYMER  SILICA  SODIUM BENZOATE  CELLULOSE GUM  ALPHA-ISOMETHYL IONONE  BENZYL ALCOHOL  CITRONELLOL  COUMARIN  EUGENOL  HEXYL CINNAMAL  LIMONENE  LINALOOL
10084,"More Than Magic Lip Balm, Coconut Mango Mood (2019 formulation) Rating",Lip Balm,: ETHYLHEXYL PALMITATE  POLYISOBUTENE  SQUALANE  CERESIN  BEESWAX  FRAGRANCE  PHENOXYETHANOL  BHT  SODIUM SACCHARIN. MAY CONTAIN: RED 6 LAKE  RED 27 LAKE  BLUE 1 LAKE  YELLOW 5 LAKE  IRON OXIDES
10085,"Degree, Unlimited Smartadapt Tech, Antiperspirant Deodorant Invisible",Antiperspirant/Deodorant,Active Ingredients: Aluminum Sesquichlorohydrate %; Inactive Ingredients: INACTIVE INGREDIENTS CYCLOPENTASILOXANE  STEARYL ALCOHOL  PPG-14 BUTYL ETHER  GLYCINE  C12-15 ALKYL BENZOATE  HYDROGENATED CASTOR OIL  FRAGRANCE (PARFUM)  CALCIUM CHLORIDE  TALC  PEG-8 DISTEARATE  SODIUM STARCH OCTENYLSUCCINATE  POLYETHYLENE  CAPRYLIC/CAPRIC TRIGLYCERIDE  MALTODEXTRIN  HYDROLYZED CORN STARCH OCTENYLSUCCINATE  HYDRATED SILICA  BHT  GELATIN CROSSPOLYMER  SILICA  SODIUM BENZOATE  CELLULOSE GUM  ALPHA-ISOMETHYL IONONE  BENZYL ALCOHOL  CITRONELLOL  HEXYL CINNAMAL  ISOEUGENOL  LIMONENE
10086,"Arbonne Soothing Aloe Deodorant, Shea Butter Rating",Antiperspirant/Deodorant,CAPRYLIC/CAPRIC TRIGLYCERIDE  STEARYL ALCOHOL  COCOS NUCIFERA (COCONUT) OIL  BUTYROSPERMUM PARKII (SHEA) BUTTER  BEHENYL BEHENATE  HELIANTHUS ANNUUS (SUNFLOWER) SEED WAX  RICINUS COMMUNIS (CASTOR) SEED OIL  ISOSTEARYL NEOPENTANOATE  MARANTA ARUNDINACEA ROOT POWDER  PARFUM/FRAGRANCE  TRIETHYL CITRATE  BEHENYL ALCOHOL  TOCOPHERYL ACETATE  ETHYLHEXYLGLYCERIN  SODIUM BICARBONATE  1 2-HEXANEDIOL  CAPRYLYL GLYCOL  GLYCERYL CAPRYLATE  AQUA/WATER/EAU  GLYCERIN  PHENETHYL ALCOHOL  PROPANEDIOL  2-METHYL 5-CYCLOHEXYLPENTANOL  ORYZA SATIVA (RICE) BRAN EXTRACT  HELIANTHUS ANNUUS (SUNFLOWER) SEED EXTRACT  ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT  ROSEMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT  ALOE BARBADENSIS LEAF EXTRACT  ALOE BARBADENSIS LEAF EXTRACT  CITRUS LIMON (LEMON) FRUIT EXTRACT  CURCUMA ZEDOARIA ROOT EXTRACT  LLEX PARAGUARIENSIS LEAF EXTRACT  MENTHA PIPERITA (PEPPERMINT) LEAF EXTRACT  PIMPINELLA ANISUM (ANISE) FRUIT EXTRACT  SALVIA OFFICINALIS (SAGE) LEAF EXTRACT  TOCOPHEROL  ALCOHOL DENAT.  CITRIC ACID  CHLORPHENESIN  PHENOXYETHANOL  POTASSIUM SORBATE  SODIUM BENZOATE  LINALOOL  GERANIOL  LIMONENE  BENZYL SALICYLATE.
10087,"Bath & Body Works White Barn Gentle Gel Hand Soap, Eucalyptus Mint Rating",Liquid Hand Soap,WATER (AQUA  EAU)  SODIUM LAURETH SULFATE  SODIUM CHLORIDE  COCAMIDOPROPYL BETAINE  OLETH-10  FRAGRANCE (PARFUM)  BHT  DISODIUM EDTA  CITRIC ACID  TRIETHYLENE GLYCOL  BENZYL ALCOHOL  BENZOPHENONE-4  PROPYLENE GLYCOL  TOCOPHERYL ACETATE  MENTHA VIRIDIS (SPEARMINT) LEAF OIL  BUTYROSPERMUM PARKII (SHEA) BUTTER EXTRACT  ALOE BARBADENSIS LEAF JUICE  EUCALYPTUS GLOBULUS LEAF OIL  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  SODIUM HYDROXIDE  LINALOOL  CITRONELLOL  COUMARIN  LIMONENE  GERANIOL.
10088,"Dial Antibacterial Hand Soap with Moisturizer, Spring Water (2020",Bar Soap,Active Ingredients: BENZALKONIUM CHLORIDE 0.13%; Inactive Ingredients: AQUA (WATER  EAU)  LAURAMIDOPROPYLAMINE OXIDE  GLYCERIN  CETRIMONIUM CHLORIDE  LAURAMINE OXIDE  SODIUM CHLORIDE  PEG-120 METHYL GLUCOSE DIOLEATE  CITRIC ACID  SODIUM BENZOATE  PARFUM (FRAGRANCE)  MYRISTAMIDOPROPYLAMINE OXIDE  ZINC SULFATE  DIMETHYL LAURAMINE  TETRASODIUM EDTA  ALCOHOL  DIMETHYL MYRISTAMINE  C142090 (BLUE 1)  CI 17200 (RED 33)
10089,"Druide Deodorant, Green Forest (2020 formulation) Rating",Antiperspirant/Deodorant,Aqua  Arctostaphylos Uva-Ursi Extract*  Glycyrrhiza Glabra Extract*  Salix Alba Extract*  Coco-Caprylate  Capryloyl Glycine  Undecylenoyl Glycine  C14-22 Alcohol  C12-20 Alkyl Glucoside  Glyceryl Stearate  Melaleuca Alternifolia (Tea Tree) Leaf Oil  Zinc Ricinoleate  Cyclodextrin  Polyglyceryl-10-Laurate  Calcium Lactate  Zinc Oxide  Eugenia Caryophyllus Extract  Glycerin  Hyssopus Officinalis Extract  Caprylic/Capric Triglyceride  Xanthan Gum  Polyglyceryl-6-Caprylate  Abies Balsamea Extract*  Eucalyptus Globulus Oil*  Pelargonium Graveolens Flower/Leaf/Stem Extract*  Bulnesia Sarmienti Oil  Lavandula Hybrida Oil*  Zingiber Officinale Root Extract*  Litsea Cubeba Fruit Oil  Thuya Occidentalis Oil*  Maltodextrin  Polyglyceryl-3 Palmitate  Menthyl Lactate  Sodium Chloride  Usnea Barbata Extract [Co2]  Citric Acid  Potassium Sorbate  Levulinic Acid. (Essential Oil Components : Linalool  Citral  Limonene  Citronellol  Geraniol).
10090,"Michel Design Works Foaming Shea Butter Hand Soap, Tartan (2020",Liquid Hand Soap,WATER (AQUA)  SODIUM LAURETH SULFATE  GLYCERIN  SODIUM COCOAMPHOACETATE  FRAGRANCE (PARFUM)  ACETYLATED HYDROGENATED LANOLIN  ALGAE EXTRACT  ALOE BARBADENSIS FLOWER EXTRACT  ALOE BARBADENSIS LEAF POLYSACCHARIDES  BUTYROSPERMUM PARKII (SHEA) BUTTER  CAMELLIA SINENSIS LEAF EXTRACT  CHRYSANTHEMUM PARTHENIUM (FEVERFEW) EXTRACT  CITRUS GRANDIS (GRAPEFRUIT) FRUIT EXTRACT  DISODIUM EDTA  LAVANDULA ANGUSTIFOLIA (LAVENDER) EXTRACT  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  SODIUM CHLORIDE  TOCOPHEROL  CITRIC ACID  HEXAMIDINE DIISETHIONATE  BENZOPHENONE-4  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  FD&C RED NO.4 (CI 14700)  FD&C YELLOW NO.5 (CI 19140).
10091,Chapstick Green Apple Rating,Lip Balm,PETROLATUM  PARAFFIN  MINERAL OIL  OCTYLDODECANOL  BIS-DIGLYCERYL POLYACYLADIPATE-2  ARACHIDYL PROPIONATE  PHENYL TRIMETHICONE  BEESWAX  ARTIFICIAL FLAVORS  COPERNICIA CERIFERA (CARNAUBA) WAX  ISOPROPYL MYRISTATE  CETYL ALCOHOL  LECITHIN (SOY)  SACCHARIN  SYNTHETIC WAX  YELLOW 5 LAKE  BENZYL ALCOHOL  CAPRYLIC/ CAPRIC TRIGLYCERIDES  TITANIUM DIOXIDE  BLUE 1 LAKE  ISOPROPYL TITANIUM TRIISOSTEARATE
10092,"Michel Design Works Stonewall Kitchen Foaming Shea Butter Hand Soap,",Liquid Hand Soap,WATER (AQUA  EAU)  SODIUM LAURETH SULFATE  SODIUM COCOAMPHOACETATE  GLYCERIN  FRAGRANCE (PARFUM)  SODIUM CHLORIDE  CITRUS GRANDIS (GRAPEFRUIT) FRUIT EXTRACT  LAVANDULA ANGUSTIFOLIA (LAVENDER) EXTRACT  CAMELLIA SINENSIS LEAF EXTRACT  CHRYSANTHEMUM PARTHENIUM (FEVERFEW) EXTRACT  ALGAE EXTRACT  ALOE BARBADENSIS FLOWER EXTRACT  DISODIUM EDTA  TOCOPHEROL  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  BUTYROSPERMUM PARKII (SHEA) BUTTER  ACETYLATED HYDROGENATED LANOLIN  ALOE BARBADENSIS LEAF POLYSACCHARIDES  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  HEXAMIDINE DIISETHIONATE  CITRIC ACID  BENZOPHENONE-4  LIMONENE  LINALOOL  HEXYL CINNAMAL  RED 4 (CI 14700)  YELLOW 5 (CI 19140)
10093,"E.l.f. Ride or Die Lip Balm, Mighty Mint 83374 (2020 formulation) Rating",Lip Balm,BIS-DIGLYCERYL POLYACYLADIPATE-2  RICINUS COMMUNIS (CASTOR) SEED OIL  MICROCRYSTALLINE WAX (CERA MICROCRISTALLINA)  HYDROGENATED CASTOR OIL  FRAGRANCE (PARFUM)  TOCOPHERYL ACETATE  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  SOLUBLE COLLAGEN  RESVERATROL  PHENOXYETHANOL  CAPRYLYL GLYCOL MAY CONTAIN: TITANIUM DIOXIDE (CI 77891)  YELLOW 10 LAKE (CI 47005)  YELLOW 5 LAKE (CI 19140)
10094,Black Opal Even True Fade & Even Tri-Complex Tonecorrect Fade Gel Rating,Skin Fading/Lightener,Active Ingredient: Hydroquinone 2.00% (Skin Lightening Gel) Inactive Ingredients: Water (Aqua)  Propylene Glycol  Carbomer  Sodium Palmitoyl Proline  Nymphaea Alba Flower Extract  Glycerin  Citrus Unshiu Peel Extract  Curcuma Longa (Turmeric) Root Extract  Glycyrrhiza Glabra (Licorice) Root Extract  Algae Extract  Yeast Extract  Glucosamine HCL  Urea  Sodium Hydroxymethylglycinate  Sodium Sulfite  Sodium Metabisulfite  Butylene Glycol  Disodium EDTA  Polysorbate 20  Benzophenone-4  EDTA  Diazolidinyl Urea  Iodopropynyl Butylcarbamate  Sodium Hydroxide  Caramel  Mica  Titanium Dioxide (CI 77891)  Iron Oxides (CI 77491)
10095,ChapStick Lip Care Tropical Paradise Collection Flavored Lip Balm (Aloha,Lip Balm,PETROLATUM  PARAFFIN  MINERAL OIL  OCTYLDODECANOL  BIS-DIGLYCERYL POLYACYLADIPATE-2  PHENYL TRIMETHICONE  ARACHIDYL PROPIONATE  BEESWAX  BENZYL BENZOATE  CAPRYLIC/CAPRIC TRIGLYCERIDE  FLAVOR  COPERNICIA CERIFERA (CARNAUBA) WAX  ISOPROPYL MYRISTATE  CETYL ALCOHOL  HYDROGENATED VEGETABLE OIL  SACCHARIN  TITANIUM DIOXIDE  YELLOW 10 LAKE  LECITHIN  YELLOW 6 LAKE  RED 40 LAKE
10096,"Pixi Tinted Brilliance Balm, Baby Bare (2019 formulation) Rating",Lip Balm,PARAFFINUM LIQUIDUM  PENTAERYTHRITYL TETRAISOSTEARATE  PETROLATUM  ETHYLHEXYL PALMITATE  CERA ALBA  OCTYLDODECANOL  CANDELILLA CERA  SYNTHETIC WAX  SILICA DIMETHYL SILYLATE  PHENOXYETHANOL  PARFUM  LINALOOL  LIMONENE  TOCOPHERYL ACETATE  BUTYROSPERMUM PARKII (SHEA) BUTTER  TITANIUM DIOXIDE (CI 77891)  FD&C YELLOW 5 AL. LAKE (CI 19140:1)  IRON OXIDES (CI 77491  CI 77492  CI 77499)  D&C RED 6 NA. SALT (CI 15850)  D&C RED 7 CA LAKE (CI 15850).
10097,Myaderm Cbd Foot Cream (2020 formulation) Rating,Foot Moisturizer,PURIFIED WATER  ISOPROPYL PALMITATE  CAPRYLIC/CAPRIC TRIGLYCERIDE  CBD  PEPPERMINT OIL  PROPYLENE GLYCOL  CETEARETH-20  CETEARYL ALCOHOL  GLYCERYL STEARATE  PEG-100 STEARATE  DIMETHICONE  OCTYLDODECANOL  HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER  SQUALANE  POLYSORBATE 60  LECITHIN  PHENOXYETHANOL  TEA TREE OIL  MENTHOL  ETHYLHEXYLGLYCERIN  TRIETHANOLAMINE
10098,"Scent Theory, Foaming Hand Soap, Boardwalk Spun Sugar Rating",Liquid Hand Soap,WATER (AQUA)  COCAMIDOPROPYL BETAINE  SODIUM C14-16 OLEFIN SULFONATE  ACRYLATES COPOLYMER  PROPYLENE GLYCOL LAURATE  COCAMIDE METHYL MEA  FRAGRANCE (PARFUM)  VANILLA PLANIFOLIA FRUIT EXTRACT  PEG-40 HYDROGENATED CASTOR OIL  DISODIUM EDTA  METHYLCHLOROISOTHIAZOLINONE   METHYLISOTHIAZOLINONE  BUTYLENE GLYCOL  HYDROXYACETOPHENONE  CITRIC ACID  RED 33  YELLOW 5  BLUE 1.
10099,"Daylogic, Hydrating Foaming Hand Wash, Fresh Pear (2020 formulation)",Liquid Hand Soap,Active Ingredients: BENZALKONIUM CHLORIDE 0.13%; Inactive Ingredients: WATER (AQUA)  COCAMIDOPROPYL BETAINE  POLYSORBATE 20  FRAGRANCE (PARFUM)  GLYCERIN  DECYL GLUCOSIDE  HYDROXYETHYLCELLULOSE  ALOE BARBADENSIS LEAF JUICE  CAMELLIA SINENSIS LEAF EXTRACT  POLYQUATERNIUM-7  TETRASODIUM EDTA  SODIUM CITRATE  CITRIC ACID  BENZOPHENONE-4  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  YELLOW 10 (CI 47005)  GREEN 3 (CI 42053).
10100,Rainbow Nerds Flavored Lip Balm (2020 formulation) Rating,Lip Balm,PETROLATUM  ETHYLHEXYL PALMITATE  MICROCRYSTALLINE WAX  BIS-DIGLYCERYL POLYACYLADIPATE-2  SYNTHETIC BEESWAX  SYNTHETIC WAX  PHENOXYETHANOL  FRAGRANCE/PARFUM  ETHYLHEXYLGLYCERIN. MAY CONTAIN: RED 6 LAKE  RED 7 LAKE  RED 27 LAKE  BLUE 1 LAKE  YELLOW 5 LAKE  YELLOW 6 LAKE.
10101,"Scent Theory Foaming Hand Soap, Frosted Sugar Plum Rating",Liquid Hand Soap,WATER  COCAMIDOPROPYL BETAINE  SODIUM C14-16 OLEFIN SULFONATE  ACRYLATES COPOLYMER  PROPYLENE GLYCOL LAURATE  COCAMIDE METHYL MEA  FRAGRANCE (PARFUM)  PEG-40 HYDROGENATED CASTOR OIL  DISODIUM EDTA  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  CITRIC ACID  RED 33  BLUE 1
10102,"Lip Smacker Fanta Lip Balm, Pineapple (2018 formulation) Rating",Lip Balm,RICINUS COMMUNIS (CASTOR) SEED OIL  CETYL ACETATE  BEESWAX  EUPHORBIA CERIFERA (CANDELILLA) WAX  FLAVOR  POLYBUTENE  PARAFFIN  SESAMUM INDICUM (SESAME) SEED OIL  COPERNICIA CERIFERA (CARNAUBA) WAX  HYDROGENATED SOYBEAN OIL  MINERAL OIL  ACETYLATED LANOLIN ALCOHOL  MICROCRYSTALLINE WAX  TRITICUM VULGARE (WHEAT) GERM OIL  STEARIC ACID  STEVIA REBAUDIANA LEAF/STEM EXTRACT  SUCRALOSE  PROPYLENE GLYCOL  PROPYL GALLATE  CITRIC ACID  PHENOXYETHANOL  TOCOPHEROL. MAY CONTAIN: BLUE 1 LAKE (CI 42090)  RED 6 LAKE (CI 15850)  RED 7 LAKE (CI 15850)  TITANIUM DIOXIDE (CI 77891)  YELLOW 5 LAKE (CI 19140).
10103,Carmex Medicated Classic Lip Balm Rating,Lip Balm,Active Ingredients: Camphor 1.7%  White Petrolatum 45.3%; Inactive Ingredients: LANOLIN  BEESWAX  CETYL ESTERS  PARAFFINUM LIQUIDUM  THEOBROMA CACAO SEED BUTTER  MENTHOL  SALICYLIC ACID  PHENOL  VANILLIN  FLAVOR
10104,"Equate Antibacterial Hand Wipes, Fresh Scent (2019 formulation) Rating",Hand Sanitizer,Active Ingredients: BENZALKONIUM CHLORIDE 0.115%; Inactive Ingredients: WATER  ALOE BARBADENSIS LEAF EXTRACT  DISODIUM COCOAMPHODIACETATE  SD ALCOHOL 40-B  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  TOCOPHERYL ACETATE  DISODIUM EDTA  CITRIC ACID  FRAGRANCE.
